Unnamed: 0,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,poplar,vine,willow,Yield
1803,60,398.15,8,0.810463078,0.5,59.03101852,0.968981481,103.2011467,33.20454545,321.4938124,5.772978298,12.46897783,2.523243786,14.93936659,2.703999782,3.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.36755647
1804,93.52941176,413.15,6,0,22.5,80,13.52941176,8.5,20,1204.585787,7.093891041,66.99985284,4.204690423,88.02644622,4.477637295,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4307
1805,55,413.15,5,0,13.375,25,30,2,16.81818182,376.4330584,5.930740232,20.93745401,3.041539613,27.50826444,3.314486485,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.346239023
1806,20,443.15,10,0.333044695,0.84,20,0,0,19.96590909,2301.911136,7.741494985,199.060152,5.29360705,308.6514012,5.732212488,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.45
1807,240.0666009,428.15,8,0,5,220.0666009,20,6.5,17.84090909,9161.303867,9.122743791,663.5195662,6.497558343,949.7856961,6.856236376,4.144342105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.10678825
1808,40,453.15,10,0.832611736,0.84,40,0,0,19.96590909,9068.918236,9.112608268,844.7111915,6.738994784,1377.389696,7.227945462,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.15
1809,181.1746737,373.65,8,0.203935964,8,171.7371737,9.4375,8,18.86363636,177.6585684,5.179863553,3.014435162,1.10341247,3.057726921,1.117671803,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82.40885428
1810,60,393.15,8,0.405231539,0.5,59.07946759,0.920532407,103.2011467,33.20454545,229.2505819,5.434815649,7.702501263,2.041545115,8.935280436,2.190007534,3.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.39356605
1811,10,403.15,8,0.405231539,0.5,8.982569444,1.017430556,103.2011467,33.20454545,68.66120074,4.229184276,3.037446098,1.111017063,3.755665898,1.323265606,3.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.75633128
1812,40,403.15,8,0.810463078,0.5,38.95,1.05,100,33.20454545,297.7270352,5.696177077,13.17090018,2.578009864,16.28522748,2.790258407,3.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,44.57221081
1813,5,332.9502883,4,0,3,0,5,3.956065646,19.9,0,0,0,0,0,0,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.099540934
1814,465,418.15,8,0,8,450,15,8,18.86363636,9509.960865,9.16009504,583.5387393,6.369110841,789.4355391,6.671318183,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.01686747
1815,34.79018633,408.15,8,0.305903946,8,21.04018633,13.75,8,18.86363636,225.7245837,5.4193156,11.25921413,2.421186827,14.35583276,2.664156324,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78.4507297
1816,25,473.15,2.5,0,1,10,15,11.66666667,23.86363636,8797.704463,9.08224611,864.1878335,6.761790145,1548.507806,7.34504704,4.041182796,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.620952381
1817,80,443.15,10,1.748484647,0.178,50,30,4.833333333,19.77272727,5754.777839,8.657785717,497.6503799,6.209897782,771.6285029,6.64850322,4.041182796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70.3
