TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,none,oxalic,sulfuric,acacia,aspen,beech,birch,eucalyptus,maple,mixed,oak,paulownia,poplar,salix,vine,Yield
159.8480725,428.15,8,0,5,139.8480725,20,6.5,17.84090909,5821.831585,8.669370197,421.6538632,6.044184748,603.5704573,6.402862782,4.056615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.258269956
102,393.15,5,0.2,3,72,30,3.166666667,16.93181818,279.3871131,5.632598322,9.387019104,2.239327789,10.88940401,2.387790207,1.595878788,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,25.39597316
57.57575758,513.15,8,0,8,0,57.57575758,3.3,19.886,0,0,0,0,0,0,1.595878788,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.849944685
100,423.15,20,0,2,95,5,25,12.386,2817.787834,7.9437074,188.7847729,5.240607598,262.7975381,5.571383919,1.595878788,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.565154206
60.60606061,523.15,8,0,8,0,60.60606061,3.3,19.886,0,0,0,0,0,0,1.595878788,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.562606859
76.38103463,388.15,8,0.101967982,8,65.13103463,11.25,8,18.86363636,180.0708367,5.193350311,5.176413811,1.644112502,5.809237694,1.759449356,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,67.42561553
170,433.15,4,0,5,120,50,2.7,17.6,7011.369698,8.855288353,543.6972013,6.298392477,799.7731019,6.684328065,1.595878788,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.68181818
46.2414966,398.15,8,0.407871928,8,33.7414966,12.5,8,18.86363636,183.7624126,5.213643687,7.127133894,1.963909175,8.539181599,2.144665172,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.79125414
133.0855395,373.65,8,0.305903946,8,123.6480395,9.4375,8,18.86363636,127.9113497,4.851337444,2.170345475,0.77488636,2.201514855,0.789145694,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,76.15951626
23.02266576,388.15,8,0.407871928,8,11.77266576,11.25,8,18.86363636,32.54844309,3.482729536,0.935655176,-0.066508272,1.05004034,0.048828582,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,63.0017772
76.48817328,388.15,8,0.305903946,8,65.23817328,11.25,8,18.86363636,180.367048,5.19499393,5.184928861,1.645756121,5.81879372,1.761092976,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,81.13155527
22,375.2775227,4,0,3,0,22,1.319076133,19.9,0,0,0,0,0,0,2.529022005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9895632
35,393.15,4,0,4,15,20,2,19.48,58.20564857,4.063982404,1.95562898,0.670711871,2.268625836,0.81917429,5.479512195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.051334702
